Movie,ImdbID,Rating,Vote,Production_Budget_million,Billion_Dollar_Club
Jurassic World Dominion,tt8041270,5.7,148012,165,1
The Dark Knight ,tt0468569,9,2633662,185,1
The Hobbit: An Unexpected Journey,tt0903624,7.8,826806,,1
Harry Potter and the Sorcerer's Stone,tt0241527,7.6,775303,125,1
Zootopia ,tt2948356,8,497082,,1
Alice in Wonderland,tt1014759,6.4,415542,200,1
Star Wars: Episode I - The Phantom Menace,tt0120915,6.5,803518,115,1
Finding Dory,tt2277860,7.3,276457,,1
Despicable Me 3,tt3469046,6.2,136472,80,1
Pirates of the Caribbean: On Stranger Tides,tt1298650,6.6,528181,250,1
Aladdin,tt6139732,6.9,265566,183,1
Rogue One: A Star Wars Story,tt3748528,7.8,633031,200,1
The Lion King,tt0110357,8.5,1052131,45,1
Pirates of the Caribbean: Dead Man's Chest,tt0383574,7.3,718209,225,1
Joker,tt7286456,8.4,1263290,55,1
Toy Story 3,tt0435761,8.3,833128,200,1
Toy Story 4,tt1979376,7.7,250085,200,1
Star Wars: Episode IX - The Rise of Skywalker,tt2527338,6.5,448970,,1
The Dark Knight Rises,tt1345836,8.4,1695368,250,1
Transformers: Age of Extinction,tt2109248,5.6,314770,210,1
 Skyfall,tt1074638,7.8,696444,200,1
Jurassic Park,tt0107290,8.2,984028,63,1
Transformers: Dark of the Moon,tt1399103,6.2,409378,195,1
 Captain Marvel,tt4154664,6.8,557518,152,1
 Spider-Man: Far from Home,tt6320628,7.4,488662,160,1
The Lord of the Rings: The Return of the King,tt0167260,9,1834661,94,1
Aquaman,tt1477834,6.8,472133,,1
Captain America: Civil War,tt3498820,7.8,783303,250,1
Minions,tt2293640,6.4,239712,74,1
Iron Man 3,tt1300854,7.1,847143,200,1
The Fate of the Furious,tt4630562,6.6,232586,250,1
Incredibles 2,tt3606756,7.6,296569,,1
Beauty and the Beast,tt2771200,7.1,309219,60,1
Frozen ,tt2294629,7.4,623513,150,1
Jurassic World: Fallen Kingdom,tt4881806,6.1,316483,170,1
Star Wars: The Last Jedi,tt2527336,6.9,629742,,1
Harry Potter and the Deathly Hallows Part 2,tt1201607,8.1,870718,,1
Black Panther,tt1825683,7.3,758495,,1
Avengers: Age of Ultron,tt2395427,7.3,859660,250,1
Frozen II ,tt4520988,6.8,172318,150,1
Top Gun: Maverick,tt1745960,8.4,425009,170,1
Furious 7,tt2820852,7.1,390449,190,1
The Avengers,tt0848228,8,1385232,220,1
The Lion King,tt6105098,6.8,245060,,1
Jurassic World ,tt0369610,6.9,642206,150,1
Spider-Man: No Way Home,tt10872600,8.3,742868,200,1
Avengers: Infinity War,tt4154756,8.4,1069345,,1
Star Wars: The Force Awakens,tt2488496,7.8,927990,245,1
Titanic,tt0120338,7.9,1166134,200,1
Avengers: Endgame ,tt4154796,8.4,1116535,356,1
Avatar,tt0499549,7.8,1244198,237,1
