Rating,Production_Budget_million,Billion_Dollar_Club
5.7,165,pos
9,185,pos
7.8,176.85,pos
2.4,20,neg
2.5,73,neg
1.6,8,neg
6,20,neg
1.9,27.27523077,neg
6.2,80,pos
6.6,250,pos
6.9,183,pos
7.8,200,pos
8.5,45,pos
7.3,225,pos
8.4,55,pos
8.3,200,pos
3.2,10,neg
2,27.27523077,neg
1.5,27.27523077,neg
3.3,50,neg
7.8,200,pos
8.2,63,pos
6.2,195,pos
6.8,152,pos
7.4,160,pos
9,94,pos
6.8,176.85,pos
7.8,250,pos
2.1,0.015,neg
2.5,27.27523077,neg
3.1,16,neg
2.6,27.27523077,neg
3.3,27.27523077,neg
7.4,150,pos
6.1,170,pos
6.9,176.85,pos
8.1,176.85,pos
7.3,176.85,pos
7.3,250,pos
6.8,150,pos
8.4,170,pos
7.1,190,pos
8,220,pos
6.8,176.85,pos
6.9,150,pos
8.3,200,pos
8.4,176.85,pos
7.8,245,pos
7.9,200,pos
8.4,356,pos
7.8,237,pos
1.9,20,neg
1.6,0.019,neg
1.5,20,neg
1.9,27.27523077,neg
2.1,12,neg
2.2,84,neg
1.3,0.5,neg
7.6,125,pos
8,176.85,pos
6.4,200,pos
6.5,115,pos
7.3,176.85,pos
2.6,30,neg
1.9,12,neg
1.8,0.8,neg
1.9,27.27523077,neg
2.8,30,neg
1.5,5,neg
2.6,54,neg
1.3,65,neg
2.8,20,neg
2.8,95,neg
2.5,12,neg
1.2,27.27523077,neg
2.4,22,neg
3,23,neg
2.9,0.1,neg
2.8,27.27523077,neg
2.9,25,neg
6.4,74,pos
7.1,200,pos
6.6,250,pos
7.6,176.85,pos
7.1,60,pos
2.2,7,neg
3.3,79,neg
6.6,70,neg
2.6,0.2,neg
3.4,100,neg
3,20,neg
7.7,200,pos
6.5,176.85,pos
8.4,250,pos
5.6,210,pos
3.4,20,neg
2.9,16,neg
3.2,4,neg
3.3,0.1,neg
3.5,20,neg
